country,category,category_id,pages,total_results,videos,distinct_channels,shorts,short_channels,error
PH,Film & Animation,1,4,200,200,200,183,183,
PH,Autos & Vehicles,2,4,200,199,199,195,195,
PH,Music,10,1,30,30,29,3,3,
PH,Pets & Animals,15,4,200,200,200,200,200,
PH,Sports,17,4,200,200,200,187,187,
PH,Travel & Events,19,0,,0,0,0,0,HTTP 404
PH,Gaming,20,2,85,83,83,2,2,
PH,People & Blogs,22,1,8,8,8,0,0,
PH,Comedy,23,4,200,198,198,179,179,
PH,Entertainment,24,4,200,200,200,190,190,
PH,News & Politics,25,2,87,87,87,9,9,
PH,Howto & Style,26,4,200,200,200,184,184,
PH,Education,27,0,,0,0,0,0,HTTP 404
PH,Tech,28,3,144,144,144,91,91,
PH,Nonprofits,29,0,,0,0,0,0,HTTP 404
ID,(generale),,4,200,199,199,9,9,
ID,Film & Animation,1,4,200,200,200,196,196,
ID,Autos & Vehicles,2,4,200,200,200,198,198,
ID,Music,10,1,30,30,25,3,3,
ID,Pets & Animals,15,4,200,200,200,200,200,
ID,Sports,17,4,200,200,200,192,192,
ID,Travel & Events,19,0,,0,0,0,0,HTTP 404
ID,Gaming,20,3,108,105,105,1,1,
ID,People & Blogs,22,1,2,2,2,0,0,
ID,Comedy,23,4,200,200,200,195,195,
ID,Entertainment,24,4,200,200,200,199,199,
ID,News & Politics,25,4,199,198,198,98,98,
ID,Howto & Style,26,4,200,200,200,199,199,
ID,Education,27,0,,0,0,0,0,HTTP 404
ID,Tech,28,4,172,172,172,152,152,
ID,Nonprofits,29,0,,0,0,0,0,HTTP 404
TH,(generale),,4,200,199,199,16,16,
TH,Film & Animation,1,4,200,200,200,169,169,
TH,Autos & Vehicles,2,4,200,200,200,192,192,
TH,Music,10,1,30,30,27,1,1,
TH,Pets & Animals,15,4,200,200,200,198,198,
TH,Sports,17,4,200,200,200,155,155,
TH,Travel & Events,19,0,,0,0,0,0,HTTP 404
TH,Gaming,20,3,111,110,110,1,1,
TH,People & Blogs,22,1,2,2,2,0,0,
TH,Comedy,23,4,200,199,199,193,193,
TH,Entertainment,24,4,200,200,200,193,193,
TH,News & Politics,25,2,80,80,80,36,36,
TH,Howto & Style,26,4,200,200,200,195,195,
TH,Education,27,0,,0,0,0,0,HTTP 404
TH,Tech,28,2,100,100,100,68,68,
TH,Nonprofits,29,0,,0,0,0,0,HTTP 404
VN,(generale),,4,200,200,200,4,4,
VN,Film & Animation,1,4,200,200,200,184,184,
VN,Autos & Vehicles,2,4,200,200,200,199,199,
VN,Music,10,1,30,30,14,0,0,
VN,Pets & Animals,15,4,200,200,200,200,200,
VN,Sports,17,4,200,200,200,176,176,
VN,Travel & Events,19,0,,0,0,0,0,HTTP 404
VN,Gaming,20,2,80,79,79,0,0,
VN,People & Blogs,22,1,1,1,1,1,1,
VN,Comedy,23,4,200,200,200,195,195,
VN,Entertainment,24,4,200,200,200,194,194,
VN,News & Politics,25,3,101,101,101,25,25,
VN,Howto & Style,26,4,200,200,200,199,199,
VN,Education,27,0,,0,0,0,0,HTTP 404
VN,Tech,28,3,135,135,135,106,106,
VN,Nonprofits,29,0,,0,0,0,0,HTTP 404
