channel_key,upload_rank,age_days
edf0a8e99473,18,10.44
edf0a8e99473,19,10.73
edf0a8e99473,20,11.36
edf0a8e99473,21,11.38
edf0a8e99473,22,11.4
edf0a8e99473,23,11.4
edf0a8e99473,24,12.44
edf0a8e99473,25,13.42
edf0a8e99473,26,13.44
edf0a8e99473,27,14.44
edf0a8e99473,28,15.44
edf0a8e99473,29,16.74
edf0a8e99473,30,17.44
edf0a8e99473,31,17.69
edf0a8e99473,32,17.73
edf0a8e99473,33,18.42
edf0a8e99473,34,18.44
edf0a8e99473,35,19.42
edf0a8e99473,36,19.44
edf0a8e99473,37,20.42
edf0a8e99473,38,20.44
edf0a8e99473,39,21.42
edf0a8e99473,40,21.44
edf0a8e99473,41,22.42
edf0a8e99473,42,22.44
edf0a8e99473,43,23.44
edf0a8e99473,44,23.69
edf0a8e99473,45,23.73
edf0a8e99473,46,24.69
edf0a8e99473,47,24.73
edf0a8e99473,48,25.36
edf0a8e99473,49,25.38
edf0a8e99473,50,25.4
02a8d08e6f49,1,0.25
02a8d08e6f49,2,1.28
02a8d08e6f49,3,1.48
02a8d08e6f49,4,2.67
02a8d08e6f49,5,3.24
02a8d08e6f49,6,3.69
02a8d08e6f49,7,4.22
02a8d08e6f49,8,4.54
02a8d08e6f49,9,19.47
02a8d08e6f49,10,24.43
02a8d08e6f49,11,24.66
02a8d08e6f49,12,25.58
02a8d08e6f49,13,26.27
02a8d08e6f49,14,26.51
02a8d08e6f49,15,28.21
02a8d08e6f49,16,30.49
02a8d08e6f49,17,32.59
02a8d08e6f49,18,33.39
02a8d08e6f49,19,33.69
02a8d08e6f49,20,35.59
02a8d08e6f49,21,39.65
02a8d08e6f49,22,41.62
02a8d08e6f49,23,42.54
02a8d08e6f49,24,60.24
02a8d08e6f49,25,65.74
02a8d08e6f49,26,66.32
02a8d08e6f49,27,66.61
02a8d08e6f49,28,67.59
02a8d08e6f49,29,69.66
02a8d08e6f49,30,70.25
02a8d08e6f49,31,70.48
02a8d08e6f49,32,70.72
02a8d08e6f49,33,74.69
02a8d08e6f49,34,75.44
02a8d08e6f49,35,75.67
02a8d08e6f49,36,76.3
02a8d08e6f49,37,76.65
02a8d08e6f49,38,77.51
02a8d08e6f49,39,77.74
02a8d08e6f49,40,78.35
02a8d08e6f49,41,78.72
02a8d08e6f49,42,80.48
02a8d08e6f49,43,81.21
02a8d08e6f49,44,81.66
02a8d08e6f49,45,82.45
02a8d08e6f49,46,84.32
02a8d08e6f49,47,84.65
02a8d08e6f49,48,87.33
02a8d08e6f49,49,87.71
02a8d08e6f49,50,88.61
ca9fefdae10f,1,0.07
ca9fefdae10f,2,0.57
ca9fefdae10f,3,0.85
ca9fefdae10f,4,1.07
ca9fefdae10f,5,1.55
ca9fefdae10f,6,1.61
ca9fefdae10f,7,1.84
ca9fefdae10f,8,2.38
ca9fefdae10f,9,2.56
ca9fefdae10f,10,2.98
ca9fefdae10f,11,3.74
ca9fefdae10f,12,3.86
ca9fefdae10f,13,3.99
ca9fefdae10f,14,4.53
ca9fefdae10f,15,4.57
ca9fefdae10f,16,4.6
ca9fefdae10f,17,5.53
ca9fefdae10f,18,5.55
ca9fefdae10f,19,5.57
ca9fefdae10f,20,6.51
ca9fefdae10f,21,7.43
ca9fefdae10f,22,8.5
ca9fefdae10f,23,8.55
ca9fefdae10f,24,8.59
ca9fefdae10f,25,9.55
ca9fefdae10f,26,9.76
ca9fefdae10f,27,10.74
ca9fefdae10f,28,10.98
ca9fefdae10f,29,11.55
ca9fefdae10f,30,11.57
ca9fefdae10f,31,12.47
ca9fefdae10f,32,12.83
ca9fefdae10f,33,13.07
ca9fefdae10f,34,13.46
ca9fefdae10f,35,13.6
ca9fefdae10f,36,13.86
ca9fefdae10f,37,14.47
ca9fefdae10f,38,14.51
ca9fefdae10f,39,14.58
ca9fefdae10f,40,15.57
ca9fefdae10f,41,15.86
ca9fefdae10f,42,16.07
ca9fefdae10f,43,16.74
ca9fefdae10f,44,16.86
ca9fefdae10f,45,16.98
ca9fefdae10f,46,17.73
ca9fefdae10f,47,17.86
ca9fefdae10f,48,17.98
ca9fefdae10f,49,18.41
ca9fefdae10f,50,18.58
d3f024c427d1,1,0.3
d3f024c427d1,2,0.51
d3f024c427d1,3,1.3
d3f024c427d1,4,1.51
d3f024c427d1,5,2.3
d3f024c427d1,6,2.46
d3f024c427d1,7,3.51
d3f024c427d1,8,4.3
d3f024c427d1,9,4.46
d3f024c427d1,10,5.3
d3f024c427d1,11,5.46
d3f024c427d1,12,6.3
d3f024c427d1,13,6.46
d3f024c427d1,14,7.3
d3f024c427d1,15,7.42
d3f024c427d1,16,8.21
d3f024c427d1,17,8.46
d3f024c427d1,18,9.3
d3f024c427d1,19,9.51
d3f024c427d1,20,10.3
d3f024c427d1,21,10.51
d3f024c427d1,22,11.29
d3f024c427d1,23,11.46
d3f024c427d1,24,12.34
d3f024c427d1,25,13.26
d3f024c427d1,26,13.46
d3f024c427d1,27,14.3
d3f024c427d1,28,14.51
d3f024c427d1,29,15.3
d3f024c427d1,30,15.46
d3f024c427d1,31,16.34
d3f024c427d1,32,17.35
d3f024c427d1,33,17.55
d3f024c427d1,34,18.42
d3f024c427d1,35,20.26
d3f024c427d1,36,21.3
d3f024c427d1,37,22.3
d3f024c427d1,38,23.3
d3f024c427d1,39,24.3
d3f024c427d1,40,25.3
d3f024c427d1,41,26.3
d3f024c427d1,42,27.3
d3f024c427d1,43,28.3
d3f024c427d1,44,29.3
d3f024c427d1,45,30.3
d3f024c427d1,46,31.3
d3f024c427d1,47,32.3
d3f024c427d1,48,34.3
d3f024c427d1,49,35.3
d3f024c427d1,50,36.3
71f40c7acea0,1,5.57
71f40c7acea0,2,47.57
71f40c7acea0,3,124.53
71f40c7acea0,4,160.66
71f40c7acea0,5,233.57
71f40c7acea0,6,236.56
71f40c7acea0,7,236.57
71f40c7acea0,8,236.57
71f40c7acea0,9,236.57
71f40c7acea0,10,236.57
71f40c7acea0,11,236.57
71f40c7acea0,12,236.57
71f40c7acea0,13,236.57
71f40c7acea0,14,257.57
71f40c7acea0,15,264.57
71f40c7acea0,16,411.47
71f40c7acea0,17,446.57
71f40c7acea0,18,450.57
71f40c7acea0,19,450.57
71f40c7acea0,20,450.57
71f40c7acea0,21,450.57
71f40c7acea0,22,450.57
71f40c7acea0,23,450.57
71f40c7acea0,24,450.57
71f40c7acea0,25,450.57
71f40c7acea0,26,450.57
71f40c7acea0,27,502.57
71f40c7acea0,28,519.32
71f40c7acea0,29,565.57
71f40c7acea0,30,586.57
71f40c7acea0,31,614.57
71f40c7acea0,32,677.57
71f40c7acea0,33,1469.57
71f40c7acea0,34,1481.44
71f40c7acea0,35,1545.61
71f40c7acea0,36,1664.43
71f40c7acea0,37,1800.4
71f40c7acea0,38,1848.57
71f40c7acea0,39,1935.71
71f40c7acea0,40,1995.56
71f40c7acea0,41,2082.62
71f40c7acea0,42,2183.22
548cce939146,1,0.4
548cce939146,2,0.61
548cce939146,3,2.22
548cce939146,4,2.32
548cce939146,5,2.37
548cce939146,6,2.57
548cce939146,7,3.13
548cce939146,8,3.79
548cce939146,9,3.89
548cce939146,10,4.05
548cce939146,11,4.47
548cce939146,12,4.54
548cce939146,13,4.58
548cce939146,14,4.65
548cce939146,15,7.46
548cce939146,16,8.41
548cce939146,17,11.5
548cce939146,18,11.57
548cce939146,19,11.58
548cce939146,20,12.33
548cce939146,21,13.2
548cce939146,22,13.2
548cce939146,23,13.22
548cce939146,24,13.23
548cce939146,25,29.34
548cce939146,26,34.38
548cce939146,27,35.33
548cce939146,28,35.34
548cce939146,29,36.39
548cce939146,30,36.4
548cce939146,31,39.24
548cce939146,32,40.43
548cce939146,33,40.53
548cce939146,34,41.28
548cce939146,35,41.33
548cce939146,36,41.38
548cce939146,37,41.39
548cce939146,38,41.47
548cce939146,39,41.51
548cce939146,40,47.38
548cce939146,41,54.62
548cce939146,42,56.34
548cce939146,43,58.19
548cce939146,44,81.35
548cce939146,45,81.37
548cce939146,46,81.37
548cce939146,47,81.38
548cce939146,48,81.38
548cce939146,49,81.38
548cce939146,50,82.34
f1f57fe4ca68,1,0.3
f1f57fe4ca68,2,0.37
